Retraining 186 models with 15 features...
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

CoinGecko market_chart for ETH-USD: 180 candles, latest $2,019.26
[161/186] ✓ DMART.NS: 688 rows, classes=['BUY', 'HOLD', 'SELL']
[162/186] ✓ PIDILITIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[163/186] ✓ BERGEPAINT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[164/186] ✓ ULTRACEMCO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[165/186] ✓ GRASIM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[166/186] ✓ SHREECEM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[167/186] ✓ HAVELLS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[168/186] ✓ VOLTAS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[169/186] ✓ SIEMENS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[170/186] ✓ ABB.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[171/186] ✓ CUMMINSIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[172/186] ✓ EICHERMOT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[173/186] ✓ HEROMOTOCO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[174/186] ✓ TVSMOTOR.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[175/186] ✓ ASHOKLEY.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[176/186] ✓ ESCORTS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[177/186] ✓ BALKRISIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[178/186] ✓ MRF.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[179/186] ✓ HINDALCO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[180/186] ✓ MPHASIS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[181/186] ✓ VEDL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[182/186] ✓ LTIM.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
[183/186] ✓ PERSISTENT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[184/186] ✓ TATAELXSI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[185/186] ✓ COFORGE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[186/186] ✓ OFSS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']

============================================================
Done: 186 trained | 0 skipped | 0 errors
Models saved to: /Users/tusharbhatt/Desktop/quantsignal/ml/models
Log saved: /Users/tusharbhatt/Desktop/quantsignal/logs/retrain_log.txt
